Handle,Title,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
pure-fix-bar-tape,,,,,,,Blue,,,,,Handlebar Tape - Blue,227,shopify,49,deny,manual,12,,TRUE,TRUE,'030955168487,https://cdn.shopify.com/s/files/1/0923/8062/products/tape_Black.jpeg?v=1438626105,Black,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/tape_Blue.jpeg?v=1438626105,lb
pure-fix-bar-tape,,,,,,,Brown,,,,,Handlebar Tape - Brown,227,shopify,9,deny,manual,12,,TRUE,TRUE,'741360637696,https://cdn.shopify.com/s/files/1/0923/8062/products/tape_Blue.jpeg?v=1438626105,Blue,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/tape_Brown.jpeg?v=1438626106,lb
pure-fix-bar-tape,,,,,,,Celeste,,,,,Handlebar Tape - Celeste,227,shopify,30,deny,manual,12,,TRUE,TRUE,'741360637719,https://cdn.shopify.com/s/files/1/0923/8062/products/tape_Brown.jpeg?v=1438626106,Brown,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/tape_celeste.jpeg?v=1438626106,lb
pure-fix-bar-tape,,,,,,,Green,,,,,Handlebar Tape - Green,227,shopify,60,deny,manual,12,,TRUE,TRUE,'030955168586,https://cdn.shopify.com/s/files/1/0923/8062/products/tape_celeste.jpeg?v=1438626106,Celeste,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/tape_Green.jpeg?v=1438626106,lb
pure-fix-bar-tape,,,,,,,Pink,,,,,Handlebar Tape - Pink,227,shopify,64,deny,manual,12,,TRUE,TRUE,'741360637702,https://cdn.shopify.com/s/files/1/0923/8062/products/tape_Green.jpeg?v=1438626106,Green,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/tape_Pink.jpeg?v=1438626106,lb
pure-fix-bar-tape,,,,,,,Purple,,,,,Handlebar Tape - Purple,227,shopify,25,deny,manual,12,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0923/8062/products/tape_Orange.jpeg?v=1438626106,Orange,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/tape_Purple.jpeg?v=1438626106,lb
pure-fix-bar-tape,,,,,,,Red,,,,,Handlebar Tape - Red,227,shopify,43,deny,manual,12,,TRUE,TRUE,'030955168500,https://cdn.shopify.com/s/files/1/0923/8062/products/tape_Pink.jpeg?v=1438626106,Pink,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/tape_Red.jpeg?v=1438626106,lb
pure-fix-bar-tape,,,,,,,White,,,,,Handlebar Tape - White,227,shopify,87,deny,manual,12,,TRUE,TRUE,'030955168494,https://cdn.shopify.com/s/files/1/0923/8062/products/tape_Purple.jpeg?v=1438626106,Purple,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/tape_White.jpeg?v=1438626106,lb
pure-fix-bar-tape,,,,,,,Yellow,,,,,Handlebar Tape - Yellow,227,shopify,56,deny,manual,12,,TRUE,TRUE,'030955168524,https://cdn.shopify.com/s/files/1/0923/8062/products/tape_Red.jpeg?v=1438626106,Red,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/tape-Yellow.jpeg?v=1438626106,lb
pure-fix-bar-tape,,,,,,,Orange,,,,,Handlebar Tape - Orange,227,shopify,24,deny,manual,12,,TRUE,TRUE,'741360637689,https://cdn.shopify.com/s/files/1/0923/8062/products/tape_White.jpeg?v=1438626106,White,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/tape_Orange.jpeg?v=1438626106,lb
pure-fix-bar-tape,,,,,,,Red White,,,,,Handlebar Tape - Camo Red/White/Black,227,shopify,53,deny,manual,12,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0923/8062/products/tape-Yellow.jpeg?v=1438626106,Yellow,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/camo_tape_0003_red_white_black_53c9866e-1cfe-4188-aea2-dc1d09b67d6f.jpeg?v=1438626105,lb
